# rs   ecorr_hd [Ry-au]
       1.731778889488      -0.098216174175
       1.741783391739      -0.098027873378
       1.751787893990      -0.097841394831
       1.761792396241      -0.097656716475
       1.771796898493      -0.097473816632
       1.781801400744      -0.097292673996
       1.791805902995      -0.097113267629
       1.801810405246      -0.096935576948
       1.811814907497      -0.096759581720
       1.821819409748      -0.096585262051
       1.831823911999      -0.096412598382
       1.841828414250      -0.096241571481
       1.851832916501      -0.096072162433
       1.861837418752      -0.095904352636
       1.871841921004      -0.095738123794
       1.881846423255      -0.095573457909
       1.891850925506      -0.095410337276
       1.901855427757      -0.095248744475
       1.911859930008      -0.095088662366
       1.921864432259      -0.094930074085
       1.931868934510      -0.094772963035
       1.941873436761      -0.094617312881
       1.951877939012      -0.094463107548
       1.961882441263      -0.094310331210
       1.971886943515      -0.094158968289
